tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
600,1/3/2015 12:36,1/3/2015 12:46,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,956,Customer,1988,1
333,1/3/2015 12:38,1/3/2015 12:43,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1265,Subscriber,1989,2
282,1/3/2015 12:41,1/3/2015 12:45,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,851,Subscriber,1933,1
2302,1/3/2015 12:50,1/3/2015 13:28,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,770,Subscriber,\N,0
2272,1/3/2015 12:51,1/3/2015 13:28,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,806,Subscriber,\N,0
460,1/3/2015 12:50,1/3/2015 12:58,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,782,Customer,1963,1
1007,1/3/2015 12:55,1/3/2015 13:11,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,763,Subscriber,\N,0
1011,1/3/2015 12:55,1/3/2015 13:12,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1301,Subscriber,\N,0
253,1/3/2015 12:55,1/3/2015 13:00,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,115,Porter Square Station,42.387995,-71.119084,992,Subscriber,1962,1
762,1/3/2015 12:59,1/3/2015 13:12,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,1296,Subscriber,\N,0
270,1/3/2015 13:04,1/3/2015 13:09,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,1289,Customer,1962,2
348,1/3/2015 13:05,1/3/2015 13:11,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1266,Subscriber,1986,1
293,1/3/2015 13:05,1/3/2015 13:10,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,648,Subscriber,1987,1
633,1/3/2015 13:12,1/3/2015 13:23,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1292,Subscriber,1988,2
422,1/3/2015 13:18,1/3/2015 13:25,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,940,Customer,1986,2
392,1/3/2015 13:18,1/3/2015 13:24,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1108,Customer,1978,1
1549,1/3/2015 13:28,1/3/2015 13:53,115,Porter Square Station,42.387995,-71.119084,115,Porter Square Station,42.387995,-71.119084,799,Customer,1987,1
325,1/3/2015 13:28,1/3/2015 13:33,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,701,Customer,1985,1
305,1/3/2015 13:29,1/3/2015 13:34,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,682,Subscriber,1982,1
436,1/3/2015 13:29,1/3/2015 13:37,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1276,Subscriber,1964,1
160,1/3/2015 13:31,1/3/2015 13:33,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1062,Subscriber,1988,1
260,1/3/2015 13:39,1/3/2015 13:44,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,149,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,1098,Subscriber,1983,1
222,1/3/2015 13:46,1/3/2015 13:49,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,754,Subscriber,1962,1
415,1/3/2015 13:48,1/3/2015 13:55,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,115,Porter Square Station,42.387995,-71.119084,1290,Subscriber,1972,1
430,1/3/2015 13:53,1/3/2015 14:01,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1276,Subscriber,1964,1
301,1/3/2015 13:56,1/3/2015 14:01,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,737,Subscriber,1985,1
239,1/3/2015 13:59,1/3/2015 14:03,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,648,Subscriber,1987,1
436,1/3/2015 14:00,1/3/2015 14:07,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,781,Customer,1982,1
